time_s,mean_preferred_norm
0.0,24.001477650822835
0.5,21.513341205264464
1.0,19.342616434300147
1.5,17.460432660512534
2.0,15.837919206484287
2.5,14.446205394798087
3.0,13.256420548036578
3.5,12.23969398878243
4.0,11.367155039618295
4.5,10.609933023126853
5.0,9.939157261890532
5.5,9.273423406893249
6.0,8.658857177462094
6.5,7.855294780377645
7.0,6.9313971317799306
7.5,6.046376479976994
8.0,5.277312577346022
8.5,4.484554397258219
9.0,3.5662186471939172
9.5,2.7344793807387604
10.0,1.9630529926870353
10.5,1.1730216199847734
11.0,0.6992189703218545
11.5,0.5143347196006994
12.0,0.23769573783593145
12.5,-0.1647767240735486
13.0,-0.38777746712166955
13.5,-0.2987087007468855
14.0,-0.1436057566982743
14.5,-0.08225261134452726
15.0,-0.038338285373380174
15.5,-0.15836483205489857
16.0,-0.5847834952928203
16.5,-1.1238130495547736
17.0,-1.4326294148399228
17.5,-1.3739807765410266
18.0,-0.9302497341116163
18.5,-0.1684535594184885
19.0,1.0326019689378303
19.5,2.987430704995483
20.0,5.454165258910115
20.5,8.273028304476576
21.0,11.724616180304434
21.5,15.886597494100233
22.0,20.562465202436545
22.5,25.529291686170648
23.0,30.665745063970373
23.5,35.70356077241886
24.0,40.5953787571163
24.5,45.25467466043833
25.0,49.4126244732346
25.5,53.132524774949715
26.0,56.48199335463238
26.5,59.50626337429167
27.0,62.32537306147469
27.5,64.70459500344433
28.0,66.41985729299428
28.5,67.69780150681659
29.0,69.02711188184836
29.5,70.63206467365596
30.0,72.28951835129713
30.5,73.68757750188627
31.0,74.7575705822054
31.5,75.9753519028477
32.0,77.49443177405625
32.5,78.90347482840944
33.0,80.11223488947019
33.5,81.236394711336
34.0,82.35375636541991
34.5,83.29468081181719
35.0,84.10804890859139
35.5,85.01954581936809
36.0,85.91506679015319
36.5,86.8213035977599
37.0,87.66726893971487
37.5,88.17022971965082
38.0,88.45741226039522
38.5,88.77863879888525
39.0,89.0352145178083
39.5,89.1452381775529
40.0,89.23378812500046
40.5,89.19893437024706
41.0,88.83068130866707
41.5,88.37035291296206
42.0,87.97828200903044
42.5,87.55766218124084
43.0,86.9795632928178
43.5,86.04857097400533
44.0,84.95371129953608
44.5,84.00184588545831
45.0,83.20543813408553
45.5,82.42022037341465
46.0,81.76587748430222
46.5,81.37790222282459
47.0,80.94248740269397
47.5,80.35958711495527
48.0,79.9071153821681
48.5,79.46462008795241
49.0,78.84417287013808
49.5,78.35449391556322
50.0,78.19967679532643
50.5,77.95983185025287
51.0,77.1889384474814
51.5,76.30656254657308
52.0,75.84313559690924
52.5,75.60679236305435
53.0,75.26072227620575
53.5,74.88910267731384
54.0,74.80357570564256
54.5,74.85703492071192
55.0,74.80341325824963
55.5,75.01879916606258
56.0,75.7143259670537
56.5,76.52939585350376
57.0,77.19423321444712
57.5,77.71797308699179
58.0,78.0478488772446
58.5,77.87957287843146
59.0,77.11459738720228
59.5,76.05370553463781
60.0,74.69951342661138
60.5,72.6118720086174
61.0,69.87483871613037
61.5,67.12205670521544
62.0,64.49953486488074
62.5,61.85069676307527
63.0,59.17536693076432
63.5,56.278741359101666
64.0,52.941162874710884
64.5,49.36471894014936
65.0,46.153622819179496
65.5,43.71238408938449
66.0,41.66996957087095
66.5,39.76884919013726
67.0,38.03939496701266
67.5,36.2062723893336
68.0,34.25697638431329
68.5,32.46570447186473
69.0,30.8951590117644
69.5,29.621587488529553
70.0,28.420273123927338
70.5,26.908588042026597
71.0,25.329190123133056
71.5,24.029071015699806
72.0,22.965366837674875
72.5,21.883897594590817
73.0,20.418115919944867
73.5,18.46720331354053
74.0,16.51438645704807
74.5,15.090864305819586
75.0,13.936465407654524
75.5,12.966223315488083
76.0,12.196662017217015
76.5,11.644305500737751
77.0,11.325677753946753
77.5,11.25730276474046
78.0,11.455704521015322
78.5,11.937407010667787
79.0,12.718934221594301
79.5,13.816810141691299
