time_s,neuron_939,neuron_2444,neuron_3080,neuron_4386,neuron_4780,neuron_5164,neuron_5481,neuron_5656,neuron_6101,neuron_6167,neuron_6406,neuron_6578,neuron_6788,neuron_6801,neuron_7735,neuron_8348,neuron_8697,neuron_8788,neuron_9276,neuron_9384,neuron_9414,neuron_9807,neuron_9975,neuron_12283
0.0,8.809034376434212,-7.282605023362856,4.234676493515127,-14.2294566855642,11.45075987171887,-17.606049264073373,5.870798698609236,-13.768886463540724,-19.652684304558612,-13.126254673980169,-26.8017851012441,-9.248909709755472,25.531782396820837,-19.83790768240453,-9.134793928182749,-0.4575385090564577,-3.7510169341419677,4.582983299422467,10.9662213107443,0.2867280439000055,-16.267769813508156,-7.017104377686831,7.809447942144347,3.554197977286672
0.5,8.352642343461481,-8.206716757040285,2.7768385151231385,-15.325595594264263,7.618267057354677,-15.477877727607138,1.8596125004105293,-14.949998346878935,-19.949554616278192,-14.408489130243055,-25.17158353326429,-8.702392237000039,26.723007464324155,-19.630895039986775,-9.13412817016291,-2.852163726763647,-3.3866945078862147,2.50890666837886,4.237686382069012,-1.808826469897777,-14.626674633881489,-6.7487204284103015,6.83180700265541,5.135501752627359
1.0,7.682884586356188,-9.243453719765224,1.3636852138255988,-16.243047568363465,4.545136088551433,-13.57324178151308,-1.145152950442852,-15.814831340927048,-19.978158966150705,-15.016014719413901,-23.628225782424092,-8.174927473152984,27.149970886333406,-19.28490708345417,-8.713746483011962,-4.430352210546245,-3.0897528230804667,1.2046066951679864,-0.6657939257622392,-3.1269717501674625,-13.229558893730541,-6.37055302024228,6.074581599608358,5.912690154226331
1.5,6.831548790891373,-10.355584670704118,0.016137088749309747,-16.984184379120364,2.1638049884675397,-11.879381234642318,-3.239491552890967,-16.38437388892786,-19.76485142396956,-15.026276811659018,-22.167434837062203,-7.665560019197823,26.905567163280374,-18.81678128062519,-7.936052801823089,-5.281906483535058,-2.847456758586236,0.5729660588141989,-3.9396768108237463,-3.752636470302275,-12.04032790379851,-5.894092476362728,5.511365298388539,5.9803357367726555
2.0,5.8304226428400785,-11.505878369023408,-1.2448853609789268,-17.55137779779352,0.4067117802614,-10.383535895845979,-4.519397205873875,-16.679614434124165,-19.33598605952817,-14.516720777144712,-20.784933685517316,-7.173334476118066,26.082690795596836,-18.243355099318315,-6.863451061689474,-5.49662906886089,-2.6470711932650324,0.5168674383418521,-5.77941947118981,-3.770749303695439,-11.022886974828587,-5.330829119951604,5.115751664381303,5.433011054955399
2.5,4.711293827975347,-12.65710357388954,-2.3984616362323097,-17.94699959564148,-0.7937055129085806,-9.072945573975185,-5.080863808331634,-16.721541419758758,-18.717916942619944,-13.564791986037294,-19.476445316128125,-6.697295444897227,24.774236283714576,-17.58146600735203,-5.558345197704303,-5.164322489654543,-2.475861005978369,0.939193512775299,-6.380479104934723,-3.2662389237401777,-10.141141417563974,-4.69225327418887,4.861334262971996,4.36528866346363
3.0,3.505950032070219,-13.772029044468958,-3.42367123788404,-18.173421543922807,-1.5050088678840012,-7.934850077881059,-5.019885259204309,-16.53114328907443,-17.936998143038284,-12.247935808503069,-18.237692717233315,-6.236487526518818,23.07309812806537,-16.847951472544807,-4.083139144960757,-4.374789269046821,-2.3210910755877565,1.742826961138893,-5.938312910132781,-2.3240340038297163,-9.35899654274786,-3.989855262254486,4.721706659545966,2.8717411169864175
3.5,2.246178940897736,-14.813423539928106,-4.299593666807314,-18.233015413896048,-1.7947602615064593,-6.956489216414724,-4.43245545743195,-16.129408485313984,-17.019583730576613,-10.643597614708348,-17.06439887717159,-5.789955321966353,21.072170829081003,-16.05964896271513,-2.50023683855202,-3.217831930168533,-2.1700262809547057,2.8306504624569895,-4.648378084858278,-1.0290632173572791,-8.640357661123444,-3.2351254073284132,4.67046241948856,1.0469409702128232
4.0,0.9637682402309391,-15.744055819433424,-5.00530842387533,-18.128152976819766,-1.7305216706175486,-6.125102798427303,-3.414568301954623,-15.53732545172021,-15.992027775028335,-8.829222774819435,-15.952286784281634,-5.356743432223343,18.86434888719326,-15.233395945681478,-0.8720422135712749,-1.7832529961504757,-2.0099315009407297,4.105546695753941,-2.7061318271855104,0.5337447622839129,-7.949130083433918,-2.4395540325906104,4.681195108185127,-1.0145392221680765
4.5,-0.30949438415713004,-16.52669464215136,-5.519895009961288,-17.861206003952514,-1.3798550720588612,-5.42793063276992,-2.0622176917123882,-14.775882631535906,-14.88068434618686,-6.882256659002643,-14.897079426902145,-4.935896458273303,16.542526802833912,-14.386029889262327,0.7390407948882949,-0.16085499012346355,-1.8280716144073386,5.470398340054102,-0.30703133518878367,2.2794612617006367,-7.249219120422477,-1.6146314612210393,4.727498291021016,-3.2181269054672197
5.0,-1.5418212464934797,-17.124108767248103,-5.822432925938282,-17.434546266552537,-0.8103224426719893,-4.852212528293572,-0.471397525645212,-13.866068468003588,-13.711907513845317,-4.880144637424082,-13.894499793371521,-4.526459001099642,14.199599076434438,-13.5343882612759,2.2706082517335346,1.559559564781761,-1.611711500215986,6.82808807438172,2.3534661930576464,4.123157607499686,-6.504530082832121,-0.7718480163995856,4.78296553338148,-5.469249524995579
5.5,-2.8945842252371174,-16.875389385946516,-5.292862452337812,-16.602922471324582,0.21379261037546157,-3.2842113184366815,0.7936348610319333,-12.452845459237778,-12.740764044041306,-2.993574972364681,-12.892263816254005,-3.903676341008769,13.00664985940919,-12.840334653054112,3.194296448303366,2.702086353368248,-1.1375744855669307,7.523788211560403,4.797995798962932,6.076522263305406,-4.80701962016509,-0.29861178950518624,4.520428601472822,-7.852074886247537
6.0,-3.9332788759063013,-16.971264183197906,-4.556428023996522,-15.589196883557964,1.3421362361735063,-2.1633766728164057,2.384353282054946,-10.851182588708626,-11.653808041122064,-1.3886763682246726,-11.830526489618071,-3.84280201192637,11.478794843636715,-12.308488114757338,4.075229164143017,3.767734287417805,-0.9849012985211284,8.004909303696092,6.952748584329911,7.993039866369483,-3.143571566994075,0.5024676882798471,4.199853315321857,-9.564407932017819
6.5,-4.467997576528408,-16.84858783455132,-3.6260117172454276,-14.561746835280335,1.6460069716724122,-1.9794864899450277,3.8206283660542484,-8.983904826679712,-10.572295173616862,-0.07298207348830042,-10.724489112450653,-3.754216169323937,9.429635816045,-11.845249160413433,4.210529481124133,5.1207740105944755,-0.6959746673547177,8.260192525342225,8.54409977300216,9.431548178210605,-1.7463931130617623,1.4690443583245822,3.8501470679852425,-10.46891335484963
7.0,-5.027042435424721,-15.997297207831878,-2.5324763351489588,-13.272634405013346,1.53836369936433,-2.0770981568171196,5.424568150411612,-7.188850424852773,-9.649498573667758,0.7936331652792684,-9.688513848006815,-3.1520712870916374,7.4348172761803015,-11.07177854672693,4.340523563192366,6.462207784559651,0.33694046763342744,8.555169399187522,9.29955779367709,10.243718539290407,-0.47920672640462497,2.6244115273009867,3.756902533053267,-11.380969128027681
7.5,-5.743091644136607,-15.009846169511462,-1.721367299943663,-11.816406884307444,1.5416129991412375,-2.1940260049489337,7.611534731481244,-6.436334301001551,-8.571233500579732,1.3702868997934214,-8.893932369541341,-2.3347760010956966,5.847362608798509,-10.006682518392406,4.9294226886380335,7.366766354329635,1.6170284931038867,8.797609895398152,9.371698513459554,10.722065382459277,0.58147859505514,3.963360020559133,3.8871854294222015,-12.58040563918206
8.0,-6.223163915810935,-13.93988839294123,-1.3727442685104165,-10.716597598575417,1.6501831741795512,-2.3001909945067918,9.183935672844568,-7.011610228512153,-7.421153100368248,1.9356038135611207,-8.278071650313624,-1.6165885015794759,5.126280610761682,-8.954861175081119,5.591500292201459,8.319306161200464,2.2260956759016457,8.70211769294543,9.028087708323302,10.76823277356376,1.1930485551419516,5.1281160607283685,4.099273368052714,-13.217462636634465
8.5,-6.0112173133748055,-12.797628294964605,-1.154767624424447,-10.241872052427285,1.898839765292942,-2.787790136318394,9.09431984887502,-7.993100228961197,-6.425171009658794,2.4196924129497877,-7.820086966524537,-1.0130980009296495,5.556840702938161,-8.067265528004155,6.105820530644604,8.882956517225626,2.647524129542299,8.465948540757584,7.892267639410396,10.128196739934705,1.6616293295221645,5.757201422475366,4.169859229208797,-12.444583808609867
9.0,-5.1751113983947405,-11.682815639188041,-0.8922250327164672,-10.202645604340548,2.151968974367753,-3.8680903458215905,7.7688454000317195,-8.330639438556082,-5.795395981978136,2.659229656247639,-7.387512917097303,-0.9712410076411971,6.449943950251413,-7.676346580746739,6.056539843716509,8.307202968783553,3.297807128239858,7.859621169626426,6.088413570950717,9.145934939168134,1.9612712435913169,6.147352313547015,3.8821196234913398,-10.459003687263516
9.5,-4.350292223164797,-10.55522225294826,-0.7504441878298367,-10.31584640522465,2.388745280586082,-4.589147285330015,5.838879851463977,-7.923431959562586,-5.4633106628655215,2.440654262352545,-6.7225070393630375,-1.4409464101265836,7.274543415210761,-7.663005588131351,5.262651913327956,7.033820272641725,3.1846635611503533,6.484798121306701,4.609206384938909,7.803803090425153,1.7839073031450403,6.583431172240538,3.4229018008312453,-8.39081789623105
10.0,-3.5822562906015354,-9.320670494970832,-0.29051536263814143,-10.302533179485707,2.3018962066571627,-4.333009254601483,4.313979796968778,-7.2201879585932405,-5.0980830579376,2.1552987309285565,-5.932114738843425,-1.6182241012422844,8.12843798546128,-7.097929367971118,4.124208257427985,5.396572566794278,2.1146594583055003,4.714273953204154,3.753742612565114,6.055838632152314,1.263280470357391,6.884835050076933,3.046070463202259,-7.092555893995571
10.5,-2.9043472338401175,-7.828009908179582,0.6276784285607003,-10.284219280421167,1.4295460210488478,-3.252137975647714,3.2614289835633623,-6.918777024704283,-4.873881551826774,1.9897396362013182,-5.229563785127375,-1.5567618109824506,9.041583565653802,-6.168918650453676,2.9948107374914144,3.70221573060313,1.3823648639477513,3.030824275610554,3.1920124740597573,4.368852941656199,0.5024377657636351,6.751196223242361,2.8772202842856354,-6.642701647370385
11.0,-2.6814137667749116,-6.28265339992289,1.3865265359255583,-10.367030757720059,0.36801459529515795,-2.0285546394330645,1.3086029623581352,-7.157977690122862,-4.861909581305195,1.5797319016434506,-4.557033302271269,-1.4371567649631523,9.287932877721163,-5.704090293487293,2.022494557386476,2.4540007884183357,1.3811178073729298,1.7153589086317977,2.7804076874448276,3.028620355653351,-0.5605395878959353,5.946127931902166,2.9510933198119806,-6.658411675922174
11.5,-2.708825633219298,-4.963044049003737,1.647935306805931,-10.43145369023556,-0.5153605597494227,-1.2484629268041392,-1.155584619887329,-7.384206585963488,-4.839933619837841,0.7277846134191027,-4.1025008663632745,-1.5183849071254718,8.544280068289893,-5.323766695970301,1.1026311469380135,1.2297310910186763,1.5424956121100004,0.6808649574278951,2.6220636346158375,1.7544821595808682,-1.6963722068892886,4.743524659841058,2.746245694078208,-6.734424549973803
12.0,-2.6582088794547247,-4.1390256725134,1.623891491769849,-10.658777493347186,-1.2453738551411069,-0.7383782212213643,-2.777858309338745,-7.390953468381185,-5.031679680792275,-0.23933292217912197,-4.003004788067231,-2.4454415979637427,7.386780161520964,-4.511795071784001,0.039207671814191616,-0.31296399408201114,1.3837467469543605,0.017612511462211135,2.5555833256670035,0.4061097585657216,-2.5136894060858332,3.661544700250376,2.0388069603011347,-6.020997504564766
12.5,-2.5275610628170115,-3.7952615265002816,1.236789293383239,-11.328581691453804,-1.492646356115968,-0.29457839867068114,-3.4976072960861795,-7.627352335038665,-5.08378747128665,-0.6739911585212909,-3.605750267882079,-3.613064525632654,6.203748604523937,-3.5849850966561445,-0.8210179214991971,-1.6575646716023513,0.38876353025909105,-0.0876441421791149,1.988628748689868,-0.7671096740621947,-3.4339563740335035,2.759647172280077,1.3541581247240333,-4.1577055775714165
13.0,-2.099180163225855,-3.5654241526498724,0.5221850409417362,-12.008390163051269,-2.0202204540431716,-0.3585907298834855,-3.676711136083336,-8.043642195148573,-4.185187988910461,-0.33354299579130386,-2.615024790272935,-3.8784195879407557,5.263950360198374,-2.742987313854927,-0.740782976580223,-2.616271525325715,-1.2067914395319663,-0.11166038606587445,0.9776984264431238,-1.6502478424272655,-4.309767083872565,2.008158228289721,0.9183340874463809,-2.621644349416707
13.5,-1.3385406317293949,-3.322624177823876,0.0046843849472825855,-11.968708198190082,-3.05890239853218,-1.3127461220447314,-3.5928554926214367,-7.734654647469906,-2.610071032936,0.7033583602809634,-1.6707039095242944,-3.376421433892085,4.52927798195104,-1.734655842239681,-0.09463610655742868,-3.5782803917796873,-2.5612787337518714,-0.5010553300677043,0.42933290560778825,-2.3068746689300688,-4.67849611187392,1.112790045055551,0.30252868222029594,-2.0747083989194115
14.0,-0.7615788729549962,-3.141420903374276,-0.37884947476197106,-10.813742493657045,-3.3434383179668283,-2.234055425562751,-2.7841894975174646,-6.843585193390632,-1.108585200034658,1.7964812522746905,-1.0236680950011463,-2.607350262014616,3.650162643553976,-0.6821816434463291,0.2944387371145839,-3.874605517539094,-3.0592929170215504,-1.1870282319445178,0.7773528430258462,-2.5412867379288353,-4.923358029642792,-0.03218484917323364,-0.7444072825551856,-1.734673516056967
14.5,-0.6807897281661857,-2.4687919709183275,-0.5840789079445919,-8.775800638373223,-2.81384848334562,-2.6812043376693406,-1.0549119166674799,-5.62467955092834,0.07069866666915006,2.348726237389404,-0.4843394811940771,-2.090198745173952,2.499973647753174,0.03313271311743353,-0.11346832986596259,-3.2438070558846226,-2.6333216760646097,-1.9311403413095933,1.3972891604174171,-2.1452421806862816,-4.365103074023731,-1.3990582464512153,-1.8200638667849187,-1.6354012495663817
15.0,-0.5389582365951138,-1.0019236839439056,-0.34887823759751035,-6.180906771435395,-2.2061521079385056,-2.7553790301721928,0.42134769988150084,-3.388648127739028,0.88864919605341,2.6041143223991146,0.056376911069291324,-2.0559289699060512,0.8705230140867033,0.557112440516751,-0.8361500549934726,-2.7144791822310923,-2.1270447694998778,-2.323748590601349,1.7787990916431757,-1.4711896965092666,-2.550382647237929,-2.8698337892984593,-2.712423834382787,-1.2211910095156537
15.5,-0.22733802756617166,-0.02126605304168619,0.06479336432116457,-2.9200863989916366,-1.4962654821480523,-1.9935691253517944,0.9911952476380953,-0.1020433103624736,1.5688927878244026,2.503013864626964,0.739489291424795,-2.0049989889752826,-1.2458617046308451,1.081145279859255,-0.9673759622555418,-2.5004418399297075,-2.0755208449465408,-2.2931953395017652,1.6839948044500446,-0.9057774910093628,-0.7172744281966386,-3.8692566843779286,-3.3142793104294133,-0.16502337599868575
16.0,-0.23314972043235158,0.250564028230362,0.4267190851931849,0.6655488773605533,-0.5328475461073685,-1.059772069920609,0.9859927316602831,3.1711917773987777,2.4936445147340685,1.6512423375551746,1.3718741915801442,-1.231908057707539,-3.785287551765795,1.6465974590435466,-1.2270343801810466,-2.0087627155291465,-2.041918871514198,-2.4915291265987882,1.1039832455017984,-0.1894160923123132,0.6183014117529922,-4.086284462430794,-3.4404034750123955,0.6620888568394253
