time_s,mean_preferred_raw
0.0,7.718806062280288
0.5,7.5178480640012255
1.0,7.303885599383792
1.5,7.077929280171893
2.0,6.840989718109457
2.5,6.594077524940402
3.0,6.338203312408619
3.5,6.074377692258067
4.0,5.8036112762326315
4.5,5.526914676076233
5.0,5.245298503532701
5.5,4.954800552557658
6.0,4.663132768219016
6.5,4.34464833885535
7.0,4.043579577380874
7.5,3.783616133802697
8.0,3.5041478747404504
8.5,3.202374712991973
9.0,2.9056037911132595
9.5,2.6047879282716346
10.0,2.307539917918635
10.5,2.016743188418573
11.0,1.7256260971675272
11.5,1.4299471785024753
12.0,1.140884937573518
12.5,0.8887687815151578
13.0,0.6709870671599772
13.5,0.44885292510146774
14.0,0.22880049738240457
14.5,0.042040440265433
15.0,-0.12626269822461447
15.5,-0.32621029978147903
16.0,-0.5796924248011606
16.5,-0.8593030143203602
17.0,-1.1213244116727394
17.5,-1.3781718341071045
18.0,-1.623775443194956
18.5,-1.8247072937994218
19.0,-1.9611992346942861
19.5,-2.005656670532742
20.0,-1.9367541109248863
20.5,-1.7684335154968052
21.0,-1.5143511280209712
21.5,-1.1376826248181964
22.0,-0.5874352252062508
22.5,0.11516078696751852
23.0,0.9308471969673224
23.5,1.8623552345571885
24.0,2.9025792025083743
24.5,4.03640934667039
25.0,5.240851412901845
25.5,6.448664014956158
26.0,7.635405222751082
26.5,8.828384737002375
27.0,10.021898250488343
27.5,11.225071220418089
28.0,12.446287701479838
28.5,13.669054668172006
29.0,14.89884386865141
29.5,16.141108355903633
30.0,17.384167501211437
30.5,18.59107500609581
31.0,19.72211872524196
31.5,20.806186095632146
32.0,21.883486818214706
32.5,22.918452919865206
33.0,23.88584076324893
33.5,24.83410858639545
34.0,25.80208699840334
34.5,26.7516926720558
35.0,27.619118808335237
35.5,28.399360394270303
36.0,29.136838184192516
36.5,29.880666729676953
37.0,30.651710503715076
37.5,31.427459341088166
38.0,32.17875289338881
38.5,32.90015858171061
39.0,33.64028001243444
39.5,34.4140194545081
40.0,35.1743174217253
40.5,35.88361934769687
41.0,36.52832856402481
41.5,37.143876244932194
42.0,37.76934576970908
42.5,38.38047161578663
43.0,38.967019619190886
43.5,39.55344088353619
44.0,40.12102949922658
44.5,40.63667973248068
45.0,41.113827161835424
45.5,41.569253200007545
46.0,41.98999596389597
46.5,42.396340408534854
47.0,42.83756970431703
47.5,43.30861633570949
48.0,43.76990529241821
48.5,44.20988219832154
49.0,44.62476127507126
49.5,44.97240054282756
50.0,45.25411482461178
50.5,45.54174088076817
51.0,45.859222540147755
51.5,46.175561041987834
52.0,46.49096678061951
52.5,46.8291075382221
53.0,47.17809316495183
53.5,47.50826726376167
54.0,47.81976946333711
54.5,48.126818346848886
55.0,48.41716332579406
55.5,48.683600439346066
56.0,48.95359237359284
56.5,49.270690662945746
57.0,49.67146992117658
57.5,50.101915707964444
58.0,50.44308280884928
58.5,50.66569831778161
59.0,50.74884667383423
59.5,50.67746100794458
60.0,50.518502200016265
60.5,50.29487148989041
61.0,49.9780179231344
61.5,49.54233206730696
62.0,48.96578683640391
62.5,48.252824091651206
63.0,47.4244753324722
63.5,46.509548226466734
64.0,45.51556451224014
64.5,44.45227699904336
65.0,43.36805380020787
65.5,42.32832394604089
66.0,41.348238249037635
66.5,40.38887751619995
67.0,39.423677438074094
67.5,38.451702914777904
68.0,37.48521465167771
68.5,36.55787577603684
69.0,35.66362133504737
69.5,34.811179846948946
70.0,34.0428566829395
70.5,33.34102763937765
71.0,32.68200705895837
71.5,32.04531130283464
72.0,31.423122661568964
72.5,30.871593613685565
73.0,30.39717704450771
73.5,29.93304663549611
74.0,29.464359846679447
74.5,29.027324176552156
75.0,28.59640645237944
75.5,28.162921664683974
76.0,27.7203727054033
76.5,27.262262466474674
77.0,26.78209383983522
77.5,26.273369717422145
78.0,25.72959299117261
78.5,25.144266553023773
79.0,24.51089329491286
79.5,23.822976108776974
