Connection Type	Side	Unit Type	Functional Classifier	Neurotransmitter Classifier	Projection Classifier	Axon Exit Direction	Count	Probability	Panel_Total	Global_Total	Global_Proportion
outputs	same_side	synapses	myelinated	excitatory	ipsilateral	None	1	0.02040816326530612	49.0	49.0	0.02040816326530612
outputs	same_side	synapses	myelinated	unknown	ipsilateral	None	1	0.02040816326530612	49.0	49.0	0.02040816326530612
outputs	same_side	synapses	noisy, little modulation	excitatory	ipsilateral	None	1	0.02040816326530612	49.0	49.0	0.02040816326530612
outputs	same_side	synapses	not functionally imaged	excitatory	ipsilateral	None	7	0.14285714285714285	49.0	49.0	0.14285714285714285
outputs	same_side	synapses	not functionally imaged	excitatory	contralateral	None	1	0.02040816326530612	49.0	49.0	0.02040816326530612
outputs	same_side	synapses	not functionally imaged	inhibitory	contralateral	None	7	0.14285714285714285	49.0	49.0	0.14285714285714285
outputs	same_side	synapses	not functionally imaged	inhibitory	ipsilateral	None	1	0.02040816326530612	49.0	49.0	0.02040816326530612
outputs	same_side	synapses	not functionally imaged	unknown	ipsilateral	None	1	0.02040816326530612	49.0	49.0	0.02040816326530612
outputs	same_side	synapses	off-response	inhibitory	contralateral	None	1	0.02040816326530612	49.0	49.0	0.02040816326530612
outputs	same_side	synapses	slow_motion_integrator	excitatory	contralateral	None	4	0.08163265306122448	49.0	49.0	0.08163265306122448
