Connection Type	Side	Unit Type	Functional Classifier	Neurotransmitter Classifier	Projection Classifier	Axon Exit Direction	Count	Probability	Panel_Total	Global_Total	Global_Proportion
outputs	different_side	synapses	motion_onset	inhibitory	contralateral	None	5	0.03676470588235294	136.0	141.0	0.03546099290780142
outputs	different_side	synapses	motion_onset	inhibitory	ipsilateral	None	1	0.007352941176470588	136.0	141.0	0.0070921985815602835
outputs	different_side	synapses	myelinated	excitatory	ipsilateral	None	1	0.007352941176470588	136.0	141.0	0.0070921985815602835
outputs	different_side	synapses	not functionally imaged	excitatory	ipsilateral	None	15	0.11029411764705882	136.0	141.0	0.10638297872340426
outputs	different_side	synapses	slow_motion_integrator	excitatory	ipsilateral	None	4	0.029411764705882353	136.0	141.0	0.028368794326241134
outputs	different_side	synapses	slow_motion_integrator	excitatory	contralateral	None	1	0.007352941176470588	136.0	141.0	0.0070921985815602835
outputs	different_side	synapses	slow_motion_integrator	inhibitory	contralateral	None	4	0.029411764705882353	136.0	141.0	0.028368794326241134
outputs	same_side	synapses	motion_integrator	excitatory	ipsilateral	None	3	0.6	5.0	141.0	0.02127659574468085
outputs	same_side	synapses	not functionally imaged	excitatory	ipsilateral	None	1	0.2	5.0	141.0	0.0070921985815602835
outputs	same_side	synapses	off-response	inhibitory	contralateral	None	1	0.2	5.0	141.0	0.0070921985815602835
